"time","cases","R_filtered","R_filt_lo95","R_filt_hi95","R_smoothed","R_smooth_lo95","R_smooth_hi95","P_elim_filt","P_elim_smooth"
17,1,5.005,0.211,7.49,1.942,1.416,2.118,0.1,0
18,11,3.583,1.867,4.227,1.932,1.466,2.118,0,0
19,8,3.022,1.817,3.474,1.878,1.466,2.018,0,0
20,13,2.151,1.466,2.42,1.805,1.416,1.918,0,0
21,11,1.752,1.215,1.918,1.758,1.416,1.867,0.001,0
22,14,1.537,1.114,1.667,1.762,1.466,1.867,0.004,0
23,27,1.801,1.365,1.968,1.83,1.516,1.918,0,0
24,41,2.127,1.717,2.269,1.843,1.566,1.918,0,0
25,40,1.845,1.516,1.968,1.727,1.466,1.817,0,0
26,65,1.788,1.516,1.867,1.665,1.466,1.717,0,0
27,85,1.872,1.616,1.968,1.579,1.365,1.667,0,0
28,85,1.577,1.365,1.667,1.326,1.165,1.365,0,0
29,61,1.085,0.914,1.165,1.05,0.914,1.114,0.139,0.204
30,82,1.046,0.863,1.114,1.006,0.863,1.064,0.256,0.415
31,63,0.977,0.813,1.014,0.953,0.813,1.014,0.567,0.703
32,77,1.008,0.863,1.064,0.925,0.813,0.964,0.422,0.825
33,46,0.828,0.663,0.863,0.818,0.713,0.863,0.973,0.993
34,49,0.763,0.612,0.813,0.809,0.663,0.863,0.997,0.995
35,54,0.895,0.713,0.964,0.872,0.713,0.914,0.85,0.942
36,46,0.916,0.763,0.964,0.849,0.713,0.914,0.787,0.966
37,46,0.907,0.713,0.964,0.785,0.663,0.813,0.812,0.996
38,22,0.697,0.562,0.763,0.665,0.562,0.713,0.999,1
39,25,0.652,0.512,0.713,0.637,0.512,0.663,1,1
40,18,0.66,0.512,0.713,0.627,0.512,0.663,0.999,1
41,16,0.671,0.512,0.713,0.606,0.462,0.663,0.998,1
42,11,0.647,0.462,0.713,0.567,0.412,0.612,0.998,1
43,3,0.517,0.361,0.562,0.527,0.361,0.562,1,1
44,6,0.533,0.361,0.612,0.538,0.361,0.612,1,1
45,3,0.548,0.311,0.612,0.548,0.311,0.612,0.999,0.999
